incident_severity,insured_hobbies,incident_type,collision_type,incident_state,authorities_contacted,property_claim,vehicle_claim,policy_annual_premium,insured_zip,policy_number,total_claim_amount,months_as_customer,injury_claim,age,insured_occupation,capital-gains,fraud_reported
Minor Damage,hiking,Vehicle Theft,?,VA,Police,640,5120,1215.85,454985,882920,7040,19,1280,32,other-service,42900,N
Total Loss,basketball,Multi-vehicle Collision,Rear Collision,VA,Other,0,35140,1191.19,468813,918777,40160,73,5020,26,farming-fishing,29300,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Side Collision,NC,Fire,6960,41760,1594.45,452747,212580,55680,285,6960,44,handlers-cleaners,0,N
Trivial Damage,skydiving,Vehicle Theft,?,WV,Police,530,4240,1463.07,615611,602410,5300,196,530,36,armed-forces,0,Y
Trivial Damage,camping,Parked Car,?,WV,,650,3900,1734.09,451400,976971,5200,223,650,43,adm-clerical,0,N
Major Damage,bungie-jumping,Single Vehicle Collision,Front Collision,NY,Ambulance,11880,41580,1411.43,464874,630226,59400,328,5940,48,armed-forces,45100,N
Minor Damage,paintball,Vehicle Theft,?,SC,Police,280,1960,1512.58,452496,171254,2520,285,280,43,sales,47600,N
Trivial Damage,golf,Vehicle Theft,?,NY,Police,960,3840,1153.35,430714,247116,5760,30,960,31,craft-repair,0,N
Minor Damage,base-jumping,Single Vehicle Collision,Rear Collision,WV,Fire,7670,61360,1722.95,472634,505969,76700,342,7670,49,transport-moving,63100,N
Trivial Damage,board-games,Parked Car,?,NY,Police,740,4440,1281.07,608371,653864,5920,219,740,39,protective-serv,0,N
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,SC,Fire,7150,50050,1011.92,468168,586367,64350,468,7150,62,machine-op-inspct,0,N
Total Loss,kayaking,Multi-vehicle Collision,Rear Collision,WV,Ambulance,2120,12720,1042.26,464107,896890,19080,241,4240,39,sales,0,N
Minor Damage,exercise,Single Vehicle Collision,Rear Collision,SC,Police,5440,43520,1235.1,466959,650026,54400,223,5440,43,tech-support,66400,N
Total Loss,chess,Single Vehicle Collision,Rear Collision,SC,Fire,5980,47840,768.91,443522,547744,59800,128,5980,32,sales,0,Y
Major Damage,golf,Multi-vehicle Collision,Side Collision,VA,Police,7200,57600,1301.72,441726,598124,72000,124,7200,29,handlers-cleaners,0,N
Total Loss,hiking,Multi-vehicle Collision,Side Collision,SC,Police,14460,43380,1451.54,473412,436126,65070,343,7230,48,adm-clerical,0,N
Trivial Damage,reading,Parked Car,?,WV,Police,880,6160,767.14,466201,739447,8800,404,1760,53,sales,25500,N
Minor Damage,movies,Vehicle Theft,?,NC,Police,1020,4080,1620.89,469621,427484,6120,63,1020,24,handlers-cleaners,0,N
Trivial Damage,skydiving,Vehicle Theft,?,OH,,590,5310,1048.46,466676,218684,7080,210,1180,37,priv-house-serv,59900,N
Minor Damage,yachting,Multi-vehicle Collision,Side Collision,NY,Ambulance,4290,21450,1538.26,615346,565564,34320,335,8580,50,sales,62200,N
Major Damage,reading,Multi-vehicle Collision,Side Collision,SC,Other,9720,34020,1217.69,440106,743163,53460,11,9720,40,prof-specialty,24000,Y
Total Loss,cross-fit,Single Vehicle Collision,Side Collision,NC,Other,13560,61020,1362.64,450332,604614,81360,142,6780,33,exec-managerial,0,Y
Minor Damage,bungie-jumping,Multi-vehicle Collision,Side Collision,NC,Ambulance,14740,58960,1279.13,615226,509928,81070,272,7370,43,craft-repair,0,Y
Minor Damage,base-jumping,Single Vehicle Collision,Front Collision,NY,Fire,10520,47340,924.72,437688,593390,63120,69,5260,26,machine-op-inspct,0,N
Trivial Damage,yachting,Vehicle Theft,?,NC,,720,5040,1019.44,437387,970607,7200,38,1440,28,transport-moving,0,N
Total Loss,exercise,Single Vehicle Collision,Rear Collision,WV,Other,6390,51120,1314.6,458139,174701,70290,328,12780,46,prof-specialty,24800,Y
Minor Damage,camping,Multi-vehicle Collision,Side Collision,SC,Fire,9260,41670,1515.18,443191,529398,60190,281,9260,43,priv-house-serv,0,N
Major Damage,base-jumping,Single Vehicle Collision,Front Collision,NY,Other,5580,44640,1649.18,613647,940942,61380,246,11160,44,farming-fishing,0,Y
Minor Damage,exercise,Single Vehicle Collision,Front Collision,NY,Ambulance,5620,19670,1451.01,460820,442677,28100,298,2810,49,other-service,47800,N
Total Loss,yachting,Single Vehicle Collision,Side Collision,NY,Fire,8920,31220,978.46,431121,365364,49060,330,8920,50,sales,0,N
Total Loss,board-games,Multi-vehicle Collision,Side Collision,NY,Fire,6340,44380,1198.34,619735,114839,57060,362,6340,50,sales,53000,N
Major Damage,kayaking,Multi-vehicle Collision,Side Collision,VA,Fire,12980,51920,1003.23,470485,872734,77880,241,12980,38,tech-support,0,N
Total Loss,basketball,Single Vehicle Collision,Front Collision,NY,Ambulance,14700,51450,1212.0,620473,267885,73500,245,7350,41,exec-managerial,24400,N
Minor Damage,paintball,Multi-vehicle Collision,Rear Collision,NY,Other,13680,68400,1242.96,449800,740505,88920,371,6840,52,other-service,0,N
Major Damage,bungie-jumping,Single Vehicle Collision,Front Collision,NY,Other,4330,30310,1053.02,602402,629663,47630,343,12990,52,prof-specialty,0,Y
Total Loss,kayaking,Multi-vehicle Collision,Front Collision,WV,Fire,6560,45920,1693.63,452456,839884,59040,377,6560,53,craft-repair,0,N
Minor Damage,dancing,Single Vehicle Collision,Rear Collision,SC,Other,7230,57840,2047.59,439269,241562,79530,154,14460,37,farming-fishing,0,N
Total Loss,base-jumping,Single Vehicle Collision,Side Collision,NY,Other,4880,43920,1083.72,617774,405533,53680,166,4880,34,machine-op-inspct,65600,N
Minor Damage,dancing,Single Vehicle Collision,Side Collision,SC,Police,6100,24400,1138.42,477678,667021,33550,298,3050,46,prof-specialty,36900,N
Total Loss,exercise,Multi-vehicle Collision,Side Collision,WV,Other,6910,55280,1072.62,444913,511621,69100,235,6910,42,machine-op-inspct,39900,N
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,OH,Police,14500,50750,1219.04,456602,476923,79750,172,14500,35,handlers-cleaners,63600,N
Major Damage,polo,Multi-vehicle Collision,Front Collision,PA,Other,10720,37520,1371.78,451560,735822,53600,27,5360,28,farming-fishing,0,Y
Minor Damage,kayaking,Multi-vehicle Collision,Side Collision,NY,Fire,6380,57420,1506.21,453407,492745,76560,428,12760,54,transport-moving,0,N
Total Loss,golf,Single Vehicle Collision,Front Collision,NY,Fire,4570,31990,1058.21,618655,130930,41130,99,4570,32,craft-repair,0,N
Total Loss,cross-fit,Multi-vehicle Collision,Rear Collision,SC,Fire,7150,57200,932.14,612550,261119,78650,107,14300,26,sales,40600,Y
Major Damage,reading,Single Vehicle Collision,Side Collision,NY,Other,12920,51680,1608.34,466718,280709,71060,272,6460,41,farming-fishing,33300,N
Minor Damage,dancing,Single Vehicle Collision,Front Collision,WV,Fire,3530,31770,1728.56,617947,898573,38830,151,3530,37,farming-fishing,54000,N
Major Damage,cross-fit,Single Vehicle Collision,Front Collision,SC,Fire,5350,42800,1518.46,606238,547802,53500,249,5350,43,armed-forces,0,N
Major Damage,skydiving,Single Vehicle Collision,Front Collision,VA,Other,7370,58960,1540.19,463842,600845,73700,177,7370,38,adm-clerical,0,Y
Trivial Damage,camping,Parked Car,?,SC,,630,5040,965.21,610354,390381,6300,190,630,40,exec-managerial,36900,N
Total Loss,paintball,Multi-vehicle Collision,Rear Collision,NY,Ambulance,10900,43600,1278.75,461328,629918,65400,174,10900,36,tech-support,53200,N
Trivial Damage,board-games,Vehicle Theft,?,PA,,320,2240,773.99,458727,208298,3200,95,640,28,armed-forces,0,N
Major Damage,golf,Single Vehicle Collision,Rear Collision,NY,Fire,15080,52780,1532.47,452587,513099,75400,371,7540,51,tech-support,60300,Y
Minor Damage,golf,Single Vehicle Collision,Side Collision,NY,Fire,6460,45220,1340.56,433184,184938,58140,2,6460,28,machine-op-inspct,0,N
Total Loss,chess,Multi-vehicle Collision,Rear Collision,SC,Ambulance,15180,68310,1297.75,451280,187775,98670,269,15180,44,other-service,0,Y
Minor Damage,golf,Parked Car,?,SC,,590,4130,433.33,603269,326322,5900,101,1180,27,machine-op-inspct,25900,N
Major Damage,paintball,Single Vehicle Collision,Rear Collision,NC,Fire,6410,51280,1025.54,442632,146138,64100,94,6410,30,armed-forces,0,N
Total Loss,yachting,Multi-vehicle Collision,Rear Collision,SC,Fire,10080,40320,1264.77,447300,336047,55440,117,5040,28,transport-moving,47500,Y
Major Damage,yachting,Multi-vehicle Collision,Side Collision,SC,Police,14700,58800,1459.97,441783,532330,80850,111,7350,27,sales,0,Y
Trivial Damage,bungie-jumping,Vehicle Theft,?,WV,Police,680,6120,1238.65,468702,118137,7480,242,680,40,transport-moving,0,N
Major Damage,movies,Single Vehicle Collision,Side Collision,OH,Fire,5960,41720,1050.76,467942,212674,53640,440,5960,61,transport-moving,41500,Y
Major Damage,base-jumping,Multi-vehicle Collision,Rear Collision,SC,Fire,11500,46000,1711.72,463678,935596,63250,20,5750,23,tech-support,0,Y
Major Damage,golf,Multi-vehicle Collision,Side Collision,NY,Ambulance,9840,39360,865.33,615220,737593,59040,461,9840,57,farming-fishing,0,N
Total Loss,base-jumping,Multi-vehicle Collision,Side Collision,SC,Other,5050,35350,1153.49,432711,812025,50500,208,10100,36,craft-repair,0,N
Major Damage,cross-fit,Single Vehicle Collision,Side Collision,SC,Police,12820,38460,1281.25,463583,168151,57690,279,6410,43,machine-op-inspct,0,Y
Trivial Damage,base-jumping,Vehicle Theft,?,NY,Police,660,4620,1342.8,439502,594739,5940,244,660,40,sales,0,N
Major Damage,dancing,Multi-vehicle Collision,Rear Collision,SC,Fire,5310,37170,1443.32,613287,843227,47790,134,5310,30,exec-managerial,0,Y
Trivial Damage,skydiving,Parked Car,?,SC,,350,3150,1629.94,620104,283925,3850,122,350,29,priv-house-serv,0,N
Major Damage,reading,Single Vehicle Collision,Front Collision,NC,Police,5900,47200,1134.08,446895,475588,59000,156,5900,31,other-service,0,Y
Major Damage,golf,Multi-vehicle Collision,Rear Collision,NY,Ambulance,14120,49420,1483.91,431531,751905,70600,232,7060,43,machine-op-inspct,0,Y
Minor Damage,base-jumping,Multi-vehicle Collision,Side Collision,SC,Police,11180,44720,1304.67,605408,226725,61490,244,5590,40,armed-forces,0,N
Minor Damage,kayaking,Single Vehicle Collision,Side Collision,SC,Police,10480,41920,1035.79,457551,942504,57640,84,5240,30,protective-serv,44400,N
Trivial Damage,movies,Vehicle Theft,?,NC,Police,1060,4770,1401.2,619892,395572,6890,394,1060,57,craft-repair,51500,N
Major Damage,hiking,Multi-vehicle Collision,Side Collision,PA,Fire,5920,35520,1665.45,445853,889883,53280,246,11840,45,machine-op-inspct,34400,Y
Minor Damage,video-games,Multi-vehicle Collision,Rear Collision,SC,Fire,7830,54810,653.66,475483,818167,78300,35,15660,29,handlers-cleaners,52100,N
Major Damage,reading,Multi-vehicle Collision,Rear Collision,PA,Ambulance,4610,32270,1080.13,606290,277767,41490,156,4610,37,protective-serv,0,N
Total Loss,camping,Multi-vehicle Collision,Front Collision,SC,Fire,6270,50160,1346.18,611852,842618,68970,195,12540,36,machine-op-inspct,57800,N
Minor Damage,camping,Multi-vehicle Collision,Rear Collision,VA,Police,8530,59710,1589.54,444734,577810,85300,369,17060,55,handlers-cleaners,55400,N
Minor Damage,camping,Parked Car,?,NY,,280,2240,1251.65,433683,873114,3080,271,560,40,other-service,71200,N
Major Damage,paintball,Multi-vehicle Collision,Front Collision,WV,Police,11040,49680,1083.01,448882,994538,71760,332,11040,47,craft-repair,91900,Y
Minor Damage,skydiving,Multi-vehicle Collision,Rear Collision,NY,Ambulance,11940,35820,974.59,466838,727792,59700,107,11940,26,armed-forces,62800,N
Minor Damage,skydiving,Multi-vehicle Collision,Front Collision,NY,Fire,10820,43280,1399.85,605490,522506,64920,217,10820,39,other-service,49900,N
Major Damage,board-games,Multi-vehicle Collision,Front Collision,SC,Ambulance,4170,29190,1307.74,466137,367595,37530,243,4170,43,machine-op-inspct,0,N
Total Loss,paintball,Multi-vehicle Collision,Side Collision,WV,Ambulance,7120,49840,1219.27,466970,586104,64080,296,7120,42,tech-support,53100,N
Minor Damage,cross-fit,Single Vehicle Collision,Rear Collision,PA,Other,5490,43920,1411.3,474801,424862,60390,264,10980,41,prof-specialty,55600,Y
Major Damage,exercise,Multi-vehicle Collision,Side Collision,WV,Police,11700,46800,694.45,450703,512813,64350,108,5850,33,armed-forces,0,Y
Minor Damage,sleeping,Multi-vehicle Collision,Side Collision,SC,Police,7090,49630,1006.77,478172,356768,70900,32,14180,38,other-service,0,N
Minor Damage,movies,Multi-vehicle Collision,Side Collision,PA,Fire,7760,31040,1422.36,604668,330506,46560,259,7760,39,craft-repair,0,N
Trivial Damage,cross-fit,Vehicle Theft,?,NY,Police,860,3010,1348.32,469429,779075,4730,186,860,33,craft-repair,37600,Y
Minor Damage,video-games,Vehicle Theft,?,SC,Police,1240,4340,1315.56,471806,799501,6820,201,1240,40,transport-moving,0,N
Major Damage,sleeping,Single Vehicle Collision,Rear Collision,WV,Police,5990,41930,1407.01,475705,987905,59900,436,11980,58,tech-support,47400,Y
Major Damage,basketball,Multi-vehicle Collision,Side Collision,WV,Police,13260,53040,1388.58,459122,967756,79560,189,13260,36,priv-house-serv,0,N
Total Loss,kayaking,Single Vehicle Collision,Front Collision,VA,Other,6390,51120,1310.76,476737,830414,70290,105,12780,33,adm-clerical,0,N
Total Loss,hiking,Multi-vehicle Collision,Rear Collision,SC,Ambulance,11620,46480,1004.63,460359,127313,63910,163,5810,31,priv-house-serv,26900,N
Trivial Damage,golf,Vehicle Theft,?,SC,,640,5120,1134.91,452735,786957,6400,219,640,40,transport-moving,68700,N
Major Damage,movies,Single Vehicle Collision,Rear Collision,SC,Ambulance,7420,51940,1194.0,613583,332892,66780,88,7420,25,handlers-cleaners,0,Y
Minor Damage,hiking,Parked Car,?,VA,Police,1460,5840,1248.25,605692,448642,8760,40,1460,39,sales,0,N
Major Damage,kayaking,Single Vehicle Collision,Side Collision,NC,Ambulance,17120,68480,1338.54,438178,526039,94160,284,8560,42,machine-op-inspct,0,N
Total Loss,golf,Multi-vehicle Collision,Front Collision,OH,Ambulance,11460,34380,782.23,449221,444422,51570,59,5730,40,protective-serv,64200,N
Major Damage,polo,Multi-vehicle Collision,Rear Collision,NC,Fire,10540,31620,1366.9,459322,689500,52700,39,10540,31,handlers-cleaners,0,Y
Minor Damage,dancing,Single Vehicle Collision,Side Collision,NY,Fire,15540,69930,1275.81,472657,806081,101010,147,15540,34,sales,0,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,NC,Police,5340,42720,1090.65,608331,384618,53400,156,5340,37,exec-managerial,0,Y
Total Loss,basketball,Single Vehicle Collision,Side Collision,SC,Fire,12020,48080,1326.0,438546,756459,72120,123,12020,31,prof-specialty,0,N
Minor Damage,reading,Multi-vehicle Collision,Front Collision,PA,Police,15420,53970,972.47,441981,655787,77100,231,7710,43,protective-serv,0,N
Trivial Damage,dancing,Parked Car,?,SC,Police,0,2700,806.31,602177,419954,3300,247,600,39,handlers-cleaners,0,N
Minor Damage,golf,Parked Car,?,WV,,540,4320,1416.24,441659,275092,5940,194,1080,35,adm-clerical,0,N
Major Damage,video-games,Multi-vehicle Collision,Rear Collision,PA,Other,21240,35400,1097.64,614812,515698,63720,119,7080,27,transport-moving,27100,N
Trivial Damage,base-jumping,Vehicle Theft,?,SC,Police,640,5760,947.75,458470,132871,7680,259,1280,43,farming-fishing,0,N
Total Loss,yachting,Multi-vehicle Collision,Side Collision,NY,Police,21630,57680,1018.73,469646,714929,93730,107,14420,31,handlers-cleaners,20000,N
Major Damage,base-jumping,Multi-vehicle Collision,Rear Collision,NC,Police,17460,52380,1400.74,611118,297816,87300,48,17460,44,sales,34000,N
Trivial Damage,camping,Parked Car,?,NY,Police,630,3780,1155.53,465158,426708,5670,267,1260,40,transport-moving,0,N
Minor Damage,bungie-jumping,Multi-vehicle Collision,Rear Collision,NY,Other,6580,46060,1386.93,457130,615047,65800,286,13160,47,priv-house-serv,54100,N
Major Damage,base-jumping,Single Vehicle Collision,Front Collision,NY,Other,4080,28560,915.29,607893,771236,36720,175,4080,34,handlers-cleaners,82400,Y
Major Damage,kayaking,Single Vehicle Collision,Side Collision,SC,Fire,9600,38400,1239.55,464736,235869,52800,111,4800,29,farming-fishing,0,Y
Total Loss,cross-fit,Multi-vehicle Collision,Rear Collision,SC,Fire,5910,47280,1366.42,476198,931625,59100,151,5910,37,protective-serv,44000,Y
Total Loss,hiking,Multi-vehicle Collision,Rear Collision,NY,Other,7040,56320,1086.48,444903,371635,77440,156,14080,37,machine-op-inspct,0,N
Total Loss,golf,Multi-vehicle Collision,Side Collision,NY,Fire,4570,36560,1247.87,464336,427199,45700,165,4570,36,armed-forces,0,N
Major Damage,dancing,Multi-vehicle Collision,Rear Collision,SC,Other,14680,58720,1312.75,471453,261315,80740,253,7340,41,sales,81300,Y
Major Damage,base-jumping,Multi-vehicle Collision,Front Collision,SC,Ambulance,5700,22800,765.64,466191,582973,31350,10,2850,26,sales,0,Y
Total Loss,skydiving,Single Vehicle Collision,Side Collision,SC,Other,7000,24500,1327.41,440930,278091,35000,158,3500,33,handlers-cleaners,0,N
Total Loss,board-games,Multi-vehicle Collision,Side Collision,WV,Police,6800,47600,1338.55,430380,153154,68000,436,13600,59,protective-serv,39000,N
Minor Damage,golf,Multi-vehicle Collision,Side Collision,SC,Other,13000,58500,1316.63,613178,515217,84500,91,13000,30,machine-op-inspct,43900,N
Minor Damage,bungie-jumping,Single Vehicle Collision,Rear Collision,WV,Police,15100,52850,1286.44,460564,860497,75500,256,7550,42,transport-moving,0,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Side Collision,WV,Other,15100,60400,1372.18,439929,351741,90600,274,15100,46,exec-managerial,0,N
Total Loss,camping,Multi-vehicle Collision,Side Collision,VA,Ambulance,10720,48240,1447.77,605756,403737,64320,275,5360,45,adm-clerical,39400,N
Minor Damage,yachting,Multi-vehicle Collision,Rear Collision,NY,Police,3170,22190,903.32,451184,162004,31700,1,6340,33,transport-moving,0,N
Major Damage,reading,Single Vehicle Collision,Side Collision,NY,Other,12380,49520,1454.42,459588,740384,74280,85,12380,30,protective-serv,51600,Y
Total Loss,video-games,Single Vehicle Collision,Front Collision,NY,Fire,6710,60390,1603.42,616637,876714,80520,233,13420,37,sales,61600,N
Major Damage,polo,Multi-vehicle Collision,Rear Collision,SC,Other,12720,44520,1616.58,447979,951543,63600,142,6360,30,adm-clerical,58500,N
Total Loss,movies,Single Vehicle Collision,Front Collision,WV,Police,3280,26240,1611.83,460176,576723,32800,266,3280,44,handlers-cleaners,0,N
Total Loss,board-games,Multi-vehicle Collision,Rear Collision,PA,Police,4910,29460,889.13,459429,391003,44190,350,9820,50,priv-house-serv,0,N
Major Damage,sleeping,Multi-vehicle Collision,Rear Collision,VA,Other,5040,35280,1252.08,465456,225865,50400,97,10080,26,exec-managerial,0,Y
Total Loss,sleeping,Multi-vehicle Collision,Side Collision,NY,Police,8840,61880,995.56,464665,984948,88400,399,17680,55,tech-support,0,N
Total Loss,bungie-jumping,Multi-vehicle Collision,Front Collision,NY,Fire,6050,48400,1347.92,430853,890328,66550,305,12100,49,farming-fishing,0,N
Minor Damage,yachting,Multi-vehicle Collision,Rear Collision,NY,Police,11960,47840,1724.09,615712,803294,65780,276,5980,47,craft-repair,0,N
Major Damage,base-jumping,Multi-vehicle Collision,Side Collision,NY,Other,4710,37680,1379.93,608228,414913,51810,257,9420,40,armed-forces,0,Y
Major Damage,board-games,Single Vehicle Collision,Front Collision,WV,Other,10120,40480,1554.64,457535,414519,55660,78,5060,31,protective-serv,0,Y
Major Damage,base-jumping,Single Vehicle Collision,Side Collision,NY,Fire,4960,29760,1377.94,442540,818413,44640,129,9920,28,machine-op-inspct,0,N
Major Damage,reading,Multi-vehicle Collision,Front Collision,NY,Ambulance,14120,56480,1313.33,455332,487356,77660,283,7060,46,transport-moving,53500,Y
Trivial Damage,base-jumping,Parked Car,?,SC,,940,3760,1259.02,439534,159768,5640,85,940,25,tech-support,67000,N
Trivial Damage,reading,Parked Car,?,VA,,580,2030,1371.88,462420,865839,3190,101,580,26,prof-specialty,0,N
Total Loss,hiking,Single Vehicle Collision,Side Collision,NC,Fire,6680,46760,1399.27,448913,406567,53440,96,0,30,prof-specialty,38900,N
Minor Damage,camping,Single Vehicle Collision,Rear Collision,WV,Police,7250,50750,1061.98,440837,623032,65250,121,7250,31,armed-forces,0,N
Minor Damage,sleeping,Multi-vehicle Collision,Side Collision,SC,Fire,4920,34440,1365.46,466634,935442,44280,176,4920,39,armed-forces,0,N
Total Loss,camping,Single Vehicle Collision,Rear Collision,NY,Police,7810,54670,894.4,446435,106873,70290,159,7810,37,tech-support,0,N
Minor Damage,movies,Single Vehicle Collision,Front Collision,NY,Other,8710,69680,956.69,438237,563878,87100,120,8710,30,priv-house-serv,39600,N
Total Loss,video-games,Multi-vehicle Collision,Front Collision,NY,Fire,4580,41220,1123.89,468313,620855,50380,212,4580,35,priv-house-serv,35400,N
Total Loss,cross-fit,Multi-vehicle Collision,Side Collision,VA,Police,6480,45360,1085.03,476303,583169,64800,290,12960,45,sales,0,Y
Minor Damage,movies,Single Vehicle Collision,Rear Collision,SC,Other,12800,44800,1437.33,450339,337677,70400,299,12800,42,craft-repair,25000,N
Major Damage,skydiving,Single Vehicle Collision,Rear Collision,NY,Police,10520,47340,988.29,476502,445973,57860,66,0,26,armed-forces,0,Y
Minor Damage,sleeping,Vehicle Theft,?,WV,,960,4320,1238.89,600561,156694,6240,334,960,47,protective-serv,0,N
Total Loss,board-games,Single Vehicle Collision,Rear Collision,VA,Police,11100,38850,1384.64,600754,421940,66600,216,16650,38,tech-support,0,Y
Minor Damage,hiking,Single Vehicle Collision,Side Collision,VA,Police,11820,47280,1595.07,439304,613226,70920,86,11820,28,transport-moving,75800,N
Minor Damage,skydiving,Single Vehicle Collision,Rear Collision,WV,Ambulance,6580,26320,1127.89,460722,804410,39480,429,6580,56,machine-op-inspct,67400,N
Total Loss,base-jumping,Single Vehicle Collision,Front Collision,VA,Other,5270,47430,929.7,618632,553565,63240,257,10540,43,handlers-cleaners,46400,N
Total Loss,cross-fit,Multi-vehicle Collision,Side Collision,SC,Other,6150,49200,1829.63,452204,399524,67650,15,12300,34,tech-support,56700,N
Major Damage,bungie-jumping,Single Vehicle Collision,Front Collision,SC,Fire,14840,44520,904.7,454530,331595,74200,230,14840,39,craft-repair,68600,Y
Minor Damage,polo,Single Vehicle Collision,Side Collision,VA,Other,12980,38940,1243.84,474848,380067,64900,250,12980,43,tech-support,47900,N
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,NC,Ambulance,3590,25130,1030.95,435985,701521,35900,270,7180,44,machine-op-inspct,47200,Y
Minor Damage,camping,Single Vehicle Collision,Rear Collision,VA,Fire,10440,36540,1285.03,457942,360770,52200,65,5220,26,craft-repair,0,N
Minor Damage,skydiving,Single Vehicle Collision,Front Collision,SC,Police,13000,58500,1216.56,436522,958785,78000,475,6500,57,adm-clerical,67400,N
Minor Damage,base-jumping,Multi-vehicle Collision,Front Collision,NY,Ambulance,6720,53760,966.26,471704,797934,67200,77,6720,27,adm-clerical,56400,N
Total Loss,golf,Single Vehicle Collision,Rear Collision,WV,Fire,5750,46000,1203.17,455810,883980,63250,256,11500,43,prof-specialty,56700,N
Major Damage,paintball,Multi-vehicle Collision,Side Collision,WV,Other,5730,51570,1212.12,446544,340614,68760,229,11460,37,craft-repair,65600,N
Minor Damage,movies,Multi-vehicle Collision,Side Collision,NY,Police,10840,43360,1573.93,461919,435784,65040,110,10840,28,other-service,30400,N
Major Damage,yachting,Single Vehicle Collision,Side Collision,SC,Ambulance,13800,48300,1609.67,470128,563837,82800,177,20700,33,adm-clerical,0,Y
Total Loss,basketball,Single Vehicle Collision,Side Collision,SC,Other,6170,49360,1097.57,462836,200827,61700,292,6170,44,priv-house-serv,0,N
Major Damage,polo,Multi-vehicle Collision,Rear Collision,OH,Ambulance,7810,54670,1618.65,475407,533941,78100,451,15620,61,transport-moving,0,Y
Major Damage,paintball,Multi-vehicle Collision,Rear Collision,SC,Ambulance,9360,46800,922.67,473611,265026,65520,61,9360,24,priv-house-serv,47400,Y
Trivial Damage,polo,Parked Car,?,VA,,450,3600,1342.02,608425,354481,4500,150,450,30,prof-specialty,0,N
Major Damage,reading,Multi-vehicle Collision,Side Collision,WV,Other,6100,36600,1195.01,476227,566720,42700,283,0,41,sales,60700,Y
Minor Damage,polo,Parked Car,?,SC,Police,620,4340,994.74,452701,832746,5580,291,620,46,adm-clerical,0,Y
Minor Damage,chess,Parked Car,?,NC,,720,2520,1050.24,456789,386690,3600,162,360,31,adm-clerical,30700,Y
Trivial Damage,dancing,Vehicle Theft,?,SC,,280,2240,1313.51,600904,979285,2800,154,280,36,exec-managerial,68500,N
Minor Damage,hiking,Single Vehicle Collision,Front Collision,VA,Ambulance,6000,42000,1102.29,450889,594722,54000,289,6000,47,adm-clerical,73000,N
Minor Damage,yachting,Single Vehicle Collision,Side Collision,NC,Police,8900,35600,1185.78,478837,216738,48950,10,4450,19,craft-repair,0,Y
Major Damage,hiking,Multi-vehicle Collision,Rear Collision,WV,Other,15560,46680,1527.95,611322,369048,77800,309,15560,47,exec-managerial,69400,N
Major Damage,exercise,Multi-vehicle Collision,Front Collision,NC,Other,5840,35040,1366.39,438180,514424,52560,396,11680,57,protective-serv,0,N
Total Loss,dancing,Multi-vehicle Collision,Side Collision,VA,Police,8020,32080,1403.9,449793,954191,44110,273,4010,41,farming-fishing,0,N
Total Loss,video-games,Single Vehicle Collision,Front Collision,SC,Other,6760,54080,927.23,450730,150181,74360,129,13520,30,sales,51500,N
Minor Damage,base-jumping,Parked Car,?,WV,,680,4760,1554.86,608758,388671,6120,140,680,31,armed-forces,59000,Y
Minor Damage,chess,Multi-vehicle Collision,Side Collision,SC,Police,10380,46710,736.07,445339,457244,62280,419,5190,53,transport-moving,45700,N
Total Loss,reading,Multi-vehicle Collision,Front Collision,NY,Other,4860,17010,974.16,438328,206667,26730,315,4860,44,sales,0,N
Major Damage,exercise,Single Vehicle Collision,Rear Collision,WV,Ambulance,6620,52960,973.8,479913,745200,66200,72,6620,29,craft-repair,0,N
Total Loss,polo,Single Vehicle Collision,Side Collision,VA,Fire,4550,31850,1260.32,460760,412703,45500,32,9100,26,other-service,0,N
Minor Damage,sleeping,Multi-vehicle Collision,Side Collision,NY,Ambulance,4420,44200,1464.03,444797,736771,53040,230,4420,41,transport-moving,0,N
Major Damage,reading,Multi-vehicle Collision,Front Collision,VA,Other,5080,35560,617.11,436711,347984,50800,157,10160,32,other-service,0,Y
Total Loss,sleeping,Multi-vehicle Collision,Side Collision,SC,Police,4420,35360,1724.46,432491,626074,44200,265,4420,41,craft-repair,81800,N
Minor Damage,base-jumping,Single Vehicle Collision,Front Collision,SC,Police,5720,45760,1161.31,617527,218109,62920,47,11440,34,exec-managerial,64800,N
Minor Damage,golf,Multi-vehicle Collision,Rear Collision,NY,Other,5550,38850,1091.73,601213,999435,49950,113,5550,29,exec-managerial,36100,Y
Minor Damage,chess,Single Vehicle Collision,Rear Collision,NC,Ambulance,6270,43890,1209.07,604138,858060,56430,289,6270,46,armed-forces,0,Y
Minor Damage,board-games,Single Vehicle Collision,Front Collision,NY,Police,18220,63770,1241.04,431361,500384,100210,254,18220,41,protective-serv,0,N
Minor Damage,base-jumping,Multi-vehicle Collision,Front Collision,NY,Fire,5460,38220,1757.21,477695,903785,49140,115,5460,30,prof-specialty,46400,N
Major Damage,paintball,Single Vehicle Collision,Side Collision,WV,Ambulance,5570,44560,802.24,612597,873859,66840,236,16710,38,other-service,0,N
